1, 138.7, 93, 121, 64, 187.5, 9.8, 1
2, 107.7, 72, 75.8, 62, 124, 21.4, 2
3, 113.2, 72, 79.8, 64, 154, 29.6, 3
4, 140.4, 72, 133.2, 66, 103, 38.8, 4
5, 114.3, 72, 109.2, 65, 121, 41.2, 5
6, 133.4, 72, 130.2, 66, 103.25, 47.4, 6
7, 71.9, 69, 17.5, 63, 74, 49.6, 7
8, 72.7, 70, 13.3, 65, 76, 52.2, 8
9, 72, 69, 12.3, 65, 74, 61, 9
10, 122.2, 77, 87.2, 67, 156.5, 63.2, 10
11, 122.2, 72, 121.4, 67, 107, 72, 11
12, 210.1, 79, 223.3, 70, 408.25, 77.8, 12
13, 78.6, 73, 15.6, 68, 86.5, 86.4, 13
14, 92.8, 75, 222.9, 68, 89, 86.4, 14
15, 154.2, 80, 131.8, 70, 201.5, 94.4, 15
16, 298.6, 167.5, 223.1, 76, 523, 57.6, 15
17, 541.6, 531, 393.1, 297.25, 724, 147.8, 17
18, 237, 116.5, 197.4, 71, 382, 118.8, 17
19, 134.4, 78, 114.7, 69, 110, 118, 17
20, 77.6, 71, 51.4, 68, 74, 101.2, 19
21, 139.6, 76, 295.6, 69, 126.25, 135.4, 19
22, 126.1, 74, 111.5, 68, 102, 99.6, 19
23, 133, 74, 180.7, 68, 99, 104.4, 20
24, 189.5, 75, 399.4, 69, 297, 103.6, 21
25, 214.1, 123, 417.8, 72, 340.5, 120, 22
26, 197.5, 72, 797.1, 68, 226.5, 111.2, 21
27, 162.7, 76, 161.8, 69, 251, 108.2, 23
28, 132.8, 74, 114.7, 68, 111, 119.8, 21
29, 183.9, 86.5, 149.7, 71, 307, 160.4, 24
30, 196.1, 78, 198.8, 70, 339, 127.6, 23
31, 168.4, 74, 161.6, 69, 288.5, 137.4, 25
32, 219.4, 81, 224.5, 71, 387, 139, 25
33, 256, 140, 423.5, 71, 431.75, 183.8, 28
34, 420.2, 522, 301.3, 79, 631.75, 125.4, 26
35, 285.6, 125, 309.1, 74, 416, 181.4, 27
36, 158.9, 76, 180.7, 70, 129.75, 166.2, 27
37, 434.8, 372, 742.8, 202, 551, 149.4, 28
38, 113.8, 74, 875, 69, 82, 151, 27
39, 244.7, 80, 304.4, 71, 462.5, 131.4, 28
